normalized_token,classification,count,variant_examples,sample_contexts
Бухарин,unknown,14,Бухарина (6); Бухарин (4); Бухарину (2); Бухарине (1); Бухариным (1),"годня в ""Комсомольской правде"". Шарж на Бухарина, 1925 год. Намёк на то, что Бухарин тру | на Бухарина, 1925 год. Намёк на то, что Бухарин трудится в нескольких местах - в ЦК РКП | нас появился троцкистский кружок. Но и Бухариным, конечно, интересовались. Плехановым. П"
Леонид,unknown,14,Леонид (7); Леонида (7),"ва Андрей узнал о смерти своего дедушки Леонида Ильича - в Лондоне, где работал над сво | Первая киносъёмка Леонида Утёсова, 1922 год. Пляшет в стилистке Ч | в Париж журналиста и своего сотрудника Леонида Колосова. Его уполномочили провести пер"
После,title,13,После (13),"белый террор в Приморье в 1919 году:  ""После неуклюжего красного террора лишь при вл | политолога Ивана Крастева в его книге ""После Европы"" есть одна интересная мысль: для | рай у них случился. Дословная цитата:  ""После этого Ливия, не обладая законами, центр"
Магнитогорск,unknown,13,Магнитогорске (7); Магнитогорска (4); Магнитогорск (2),"ших и пострадавших при обрушении дома в Магнитогорске $147 тыс. Освежил в памяти про ММК, тип | официально).  Излишне говорить, что сам Магнитогорск это типичный город при «вредном произво | хватило бы на то, чтобы «перезапустить» Магнитогорск – чтобы там появилась удобная городская"
Замоскворечье,unknown,13,Замоскворечье (9); Замоскворечья (4),"жу? Вчера и сегодня был только у себя в Замоскворечья, на Б.Дмитровке, на Динамо. Увидел толь | грубо говоря, от местного совета нашего Замоскворечья шагом можно дойти до Кремля за 20 минут | сквы. Сейчас зашёл в халяльный (у нас в Замоскворечье), оттуда иду с их фирменными пакетами ("
Собчак,person,13,Собчак (12); России (1),"а выборах в 1996 году проиграл Анатолий Собчак). Она говорила, что с Яковлевым работал | Иваненко вспоминал про одного такого:  «Собчак (с июня 1991 года-  мэр Ленинграда - Са | нковский центр, я туда часто мотался, и Собчак поручал Путину меня встречать и провожа"
Волга,unknown,13,Волги (6); Волгу (3); Волге (2); Волгах (1); Волгой (1),"четырёх-пролетной лестницей - спуском к Волге | ак далеко зашли немецкие колонисты - до Волги и Кавказа | ересно, что и захват земель русскими за Волгой тоже имел под собой правоту. В российск"
Орден,unknown,13,Ордена (9); Орден (3); Орденом (1),"европейская сила (по сути - Европейский Орден).  Но шансов на это немного. Не менее в | Мариянны Пуаре-Пургольд,  хранительницы Ордена Чаши Святого Грааля, в 1927-м севшей на | открытое объявление войны Орде, на что Орден никогда бы не пошёл, памятуя, чем для е"
Ммк,unknown,13,ММК (13),"владельцы Магнитогорского меткомбината (ММК) перечислили в фонд погибших и пострада | тогорске $147 тыс. Освежил в памяти про ММК, типичное предприятие, на котором держи | ва, Махмудова, Зюзина и пр.) владельцем ММК стало местное семейство Рашниковых. Сос"
Елена,unknown,13,Елена (6); Елены (5); Еленой (2),"по амнистии вышла в 1954 году). Их дочь Елена получила 5 лет ГУЛАГа. До самой смерти | день, 25 декабря 1989 он вместе с женой Еленой был расстрелян по приговору трибунала | и фактический главред газеты ""Культура"" Елена Ямпольская. У неё нет практического опы"
Зиновьев,unknown,13,Зиновьев (7); Зиновьева (4); Зиновьеве (1); Зиновьевым (1),"После смерти Ленина «тройка» Сталин—Зиновьев—Каменев в борьбе за власть против групп | ов методологии - вместе с Щедровицким и Зиновьевым. | ософов Мераба Мамардашвили и Александра Зиновьева, социолога Бориса Грушина и других заме"
Яндекса,title,13,Яндекса (13),"лизации на этом рынке. К примеру, доля «Яндекса» на легальном рынке указана в 27%. Но э | частников рынка.  Вероятно, такая доля «Яндекса» появилась по нескольким причинам. Анал | то таксопарки, которые выполняют заказы Яндекса и других агрегатов. Так что эти расчёты"
Аргентина,unknown,13,Аргентине (4); Аргентины (4); Аргентина (3); Аргентиной (1); Аргентину (1),"400 кг кокаина в российском посольстве Аргентины, арест проститутки в Тайланде по заказу | Очень рад победе Хорватии над Аргентиной 3:0. Аргентина у меня ассоциируется с б | 00 из них –из Северной и Южной Америки, Аргентина – 116 человек, Литва – 101, Латвия – 83"
Албания,unknown,13,Албании (7); Албания (4); Албанию (2),"Король Албании Ахмед Зогу (1895-1961) и три его сестры | а 1935-36.  Наконец, вторжение Италии в Албанию 7 апреля 1939 году. Вот этой даты даже | грессия Италии с последующей оккупацией Албании. В общем, есть где разгуляться историка"
Трамп,person,13,Трамп (12); Россию (1),"мало кто, включая меня, верил в то, что Трамп может победить даже на праймерис респуб | угие темы. Все время и во всем — только Трамп.  После Трампа мир уже не будет таким, | а едва ли лучше других стран, тогда как Трамп полагает, что если Америка хочет защища"
Великобритания,country,13,Великобритании (10); Великобритания (3),"Последний по времени опрос в Великобритании о приверженности лейбористам и консерва | Премьер-министр Великобритании Маргарет Тэтчер ставит свечу в Троице-С | центры, обваливающие ее - США, Россия и Великобритания, будут все более деевропеизироваться, у"
Санкт-петербург,unknown,13,Санкт-Петербурге (7); Санкт-Петербурга (4); Санкт-Петербург (2),"требовалось перекрытие трассы Москва - Санкт-Петербург и дать бой прибывающим из Твери частям | арла Бруни (будущая супруга Саркози)  в Санкт-Петербурге на съёмках для журнала мод, 1992 год | 7 году 166 тысяч рублей (официально). В Санкт-Петербурге - 107 тысяч рублей. А дальше провал: в"
Эдуард Надточий,person,13,Эдуард Надточий (7); Эдуарда Надточего (5); Вообще (1),"Философ Эдуард Надточий у себя в ФБ комментирует теперь уже ста | Абсолютно согласен с мнением философа Эдуарда Надточего.  Лет 8-12 нам придётся прожить в мире | Философ Эдуард Надточий в ФБ рассказывает о своей племяннице, с"
Франция,title,13,Франция (13),"анах мира, как САСШ, Англия, Германия и Франция, хлеб вытеснялся мясными и молочными пр | у них вышло:  «Решили поиграть в игру ""Франция"": профсоюзы, партии, совет министров и | миллионов тонн железа в год на 1850-е, Франция - около 800 тысяч, США - 550-600 тысяч,"
Кгб Андропов,person,13,КГБ Андропова (9); КГБ Андропов (2); КГБ Андропову (1); КГБ Андроповым (1),"Купил автобиографию советника главы КГБ Андропова, советского системного либерала Георгия | тский системный либерал, советник главы КГБ Андропова Георгий Арбатов в своей автобиографии о | а, системного либерала, советника главы КГБ Андропова. Если первый важный момент из конца 196"
Нет,unknown,13,Нет (7); НЕТ (6),"ник Ельцина? Будете ли вы кандидатом? - Нет. У нас монархия - зачем тогда быть канд | стические Мусульмане скандируют лозунг ""Нет очищенному капитализму!"": этот термин о | еских мусульман"" - арабская буква ""ля"" (Нет!)."
Азербайджан,unknown,13,Азербайджана (6); Азербайджан (4); Азербайджане (2); Азербайджану (1),"еакция теперь уже вечного врага Армении Азербайджана. Ослабление Армении в результате ""перес | т не вмешаться Турция - главный союзник Азербайджана. И может возникнуть новая точка горячей | ы вора в законе Ровшана Ленкоранского в Азербайджане. Настоящее евразийство и такая всенарод"
Bf,unknown,13,BF (13),%BE%D1%81%D1%81%D0%B8%D1%8F%D0%BD-8-%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D1%87%D0% | 0%BE%D0%B2%D0%B8%D0%BB-%D0%BD%D0%B0-%D0%BF%D0%BE%D0%B4%D0%B2%D0%B8%D0%B3/ | olk.ru/2017/04/05/%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0-%D0%BB%D1%83%D1%87-%D0%BA%D
Чубайс,person,13,Чубайс (13),"я неолиберальному правительству (да-да, Чубайс уже тогда употребляет слово ""неолиберал | журналиста Андрея Колесникова «Анатолий Чубайс» (фактически прижизненная ЖЗЛ, 2008 год | (к предыдущему посту) В своей ЖЗЛ Чубайс говорит о главном принципе т.н. «реформ"
Но,title,13,Но (13),"сь, усмехаясь, он прибавил невесело:  – Но часто слушать музыку не могу, действует | лечах немцев входил в Ростов-на-Дону:  ""Но вот и утро пасхального дня (21 апреля 1 | ют, как лечить рак, - поддакнула она. - Но наши-то этим не пользуются! И инопланет"
Виктор,person,13,Виктор (13),"ского Труда (1981 год). ""Многоуважаемый Виктор Михайлович! Разрешите от всего сердца п | 8 года). Популяризатор науки и писатель Виктор Фридман: ""Самое очевидное направление - | ой российского КГБ в мае 1991 года стал Виктор Валентинович Иваненко. Стоял у истоков"
Отечественный,unknown,13,Отечественной (7); Отечественная (5); Отечественную (1),"ережил и своего хозяина, и даже Великую Отечественную. И долго ещё после войны правил конюшне | 13-й минуты короткий рассказ о Великой Отечественной, и там отсыл к тому, что отстаивать Мос | Великая Отечественная война породила во Владимирской тюрьме с"
Минфин,unknown,13,Минфин (6); Минфина (5); Минфине (1); Минфином (1),"ого набившего оскомину инфантила из НИИ Минфина. ""Задерём подол Матушке-России!"". Празд | ения». Один из ответчиков – федеральный Минфин, приказы которого оспаривает республика | ть в федеральный бюджет 20,5 млрд руб.» Минфин РФ назвал незаконным рассмотрение подоб"
Зеландия,unknown,13,Зеландия (8); Зеландии (3); Зеландию (2),"мир (Англия+США+Канада+Австралия+Новая Зеландия; супергегемон с населением 430 млн. чел | я, Швейцария, Канада, Австралия и Новая Зеландия. | юдение за сегодняшней трагедией в Новой Зеландии: «Если бы мусульманин перестрелял столь"
Колчак,unknown,13,Колчака (10); Колчак (2); Колчаке (1),Какая оборванная армия была у Колчака | Почтовая марка Директории Колчака | рже труда Церетели Владивосток. Адмирал Колчак Автономов Революционный трибунал. Дело
The,unknown,13,The (13),"caust: Germany’s Forgotten Genocide And The Colonial Roots Of Nazism by David Olusa | В книге о колонизации землянами Марса The Mars Project, которую знаменитый констр | Электрокровать The Electronic Bed Company, 1945 год. В ней"
Япония,unknown,13,Японией (13),"в 1905 году, люди, проигравшие войну с Японией, готовы были с ожесточением защищать - | рии, в СССР ещё постоянно ждали войны с Японией. Поэтому с 1927-28 годов в СССР началос | &D находится примерно на одном уровне с Японией и Германией (около $15 млрд. в год) и в"
Трампа,title,13,Трампа (13),"нынешнее трамповское безумие на одного Трампа - это примерно как сталинизм и большеви | одстраиваться, либо ядро найдет своего ""Трампа"" и проведет его к руководству партии. | ом виде тоже сохранится. Главным же для Трампа является сдерживание Китая и прекращени"
Шойгу,unknown,13,Шойгу (13),"ода, то партия власти вместо ""Единства"" Шойгу тогда должна была выглядеть так: Джемал | и не проходили срочную службу в армию – Шойгу и Иванов. Много в своё время смеялись н | , рублёвский шатёр тувинского наполеона Шойгу, и т.п., в реальном русском мире происх"
Звезды,title,13,Звезды (13),"ановили партстаж, вернули орден Красной Звезды вручили золотой значок ""50 лет в КПСС"". | ь и транспортное плечо: от Магнитки до «Звезды» 5 тыс. км.  И выяснилось, что единстве | яснилось, что единственный вариант для «Звезды» - это покупать толстолистовой прокат в"
Гдр,unknown,13,ГДР (13),"разочаровался. Например, после аншлюса ГДР не покинул СЕПГ и остался членом Партии | н в военные годы. В Германии (совокупно ГДР и ФРГ) это показатель был 28% от женско | осточной Европе и то, как их коллеги из ГДР, Чехии и т.д. оказывались на улице, как"
Юрий,person,13,Юрий (13),"о раз, готовясь к заседаниям политбюро, Юрий Владимирович обсуждал со мной идеи прео | ода мэр Москвы Гавриил Попов и вице-мэр Юрий Лужков, только-только избравшись на эти | давлением цензуры пришлось переписать, Юрий Олеша пишет: ""Нужно знать, какие сны сн"
Герман,unknown,13,Герман (6); Германа (6); Герману (1),"Чудачествам Германа Стерлигова - уже 25 лет (вырезка из газ | Предприниматель Герман Стерлигов, 1991 год | (к посту выше) депутат, НКВДшник Герман Люшков, сбежавший в Японию"
Востока,title,13,Востока (13),"а Сталина на приветствия"". Газета ""Заря Востока"", Тифлис, 10 июня 1926 года, №1197.) | ились люди, учуявшие, что свет нам не с Востока, а с Запада, и вот он, завершитель стар | окращённом, журнальном варианте ""Упадок Востока и переход мировой гегемонии к странам З"
Верховный,unknown,13,Верховный (7); Верховного (6),"39 году. В 1948 году стал председателем Верховного суда СССР. Он благополучно дожил до 105 | Советский плакат, посвященный выборам в Верховный Совет СССР 1984 года. Плакат выпущен в | анду. В связи с предстоящими выборами в Верховный Совет СССР церковники и сектанты активи"
Нет,title,12,Нет (12),"являются социалистическими лозунгами. «Нет ли идейной связи и идейного родства меж | у и нечего спрашивать с царя, ситуации ""Нет налогов без представительства"", с котор | и на самоубийство собственного народа. (Нет, мыслимо, но вероятность мала.)  Ещё пр"
Сурков,unknown,12,Суркова (8); Сурков (3); Суркову (1),"Почитал колонку Суркова. Вывод простой: лучше читать первоисточ | о отметить – уже на уровне чиновника АП Суркова люди уверовали в «глубинное государство | ей Обухов интересно анализирует заметку Суркова, но в конце соглашается с чиновником, ч"
Ну,title,12,Ну (12),"опытного политика-бойца в стенах Думы: ""Ну всё, КГБ теперь во власти надолго"". Жал | ия. - Они контактировали с землянами? - Ну да, по телевизору сказали, была какая-т | хаил Булгаков. Звучало он так: ""Сталин: Ну что же... По поводу Нового года можно с"
Израиля,title,12,Израиля (12),"был интересный план устройства ""левого Израиля"". В 1917 году он разработал идею создан | л идею создания социал-демократического Израиля в Палестине, а в первой половине 1918 г | ании была и вторая причина для создания Израиля – это желание кайзера отправить из Герм"
Петербурге,title,12,Петербурге (12),"хлетней работы мы собрали конференцию в Петербурге, чтобы обсудить результаты, то никаких | езжая с ним в Москве по кладбищам - и в Петербурге, и в Москве он любил до странности посе | нное право"", напечатанная по-русски и в Петербурге, вызвала революцию в Неаполе""."
Анатолий Чубайс,person,12,Анатолий Чубайс (8); Анатолия Чубайса (3); Анатолием Чубайсом (1),"ь рождения Егора Гайдара. Егор Гайдар и Анатолий Чубайс на семинаре молодых экономистов, прошед | й книжке журналиста Андрея Колесникова «Анатолий Чубайс» (фактически прижизненная ЖЗЛ, 2008 год | Дочитываю книгу Колесникова ЖЗЛ «Анатолий Чубайс». Как уже писал, в книге много интересн"
Польша,title,12,Польша (12),", а триумф. Приходится признавать, что ""Польша Качиньского"" - это не недоразумение, а | способной ученицей Европы. К 2015 году Польша выросла и окрепла настолько, чтобы прет | , так что поделюсь мыслями. Исторически Польша претендовала на роль Мессии для Востока"
Xv,unknown,12,XV (11); Xv0GGbU1ErY (1),"w.youtube.com/watch?time_continue=441&v=Xv0GGbU1ErY | ких городов-республик на Руси. В начале XV века, наоборот, уровень жизни среднего | отражением идеологической борьбы Европы XV века. Нельзя забывать и о том, что Иван"
Айн,person,12,Айн (12),"ртарианства, россиянка по происхождению Айн Рэнд (Алиса Розенбаум) всегда питала не | енил пенсии. В общем, не посрамили идеи Айн Рэнд."
Гулаге,unknown,12,ГУЛАГе (12),"На пике репрессий 1937-38 годов в ГУЛАГе заключённых с высшим и средним образова | й Берия. Массовые восстания вспыхнули в ГУЛАГе. На Колыме образуется первая свободная | это больше, чем умученных в сталинском ГУЛАГе. http://ttolk.ru/articles/pervyiy_konts"
Саратов,unknown,12,Саратове (8); Саратова (3); Саратов (1),"Кумыска – это природный парк на западе Саратова, а «Шорохи Кумыски» - это небольшой (по | - это небольшой (пока) канал о жизни в Саратове.   Канал создали совсем недавно, поэтом | втор не просто описывает происшествия в Саратове, но и анализирует скрытые мотивы и тех,"
Луна,unknown,12,Луне (6); Луну (4); Луны (2),"ии жестокого убийства, произошедшего на Луне. https://www.youtube.com/watch?v=27APbm | й довод, почему землянам нужно освоение Луны (прочитал об этом в бумажном журнале ""С | ентов пришли к выводу, что на Марсе или Луне должна быть установлена технократическа"
Лондоне,title,12,Лондоне (12),"о его книге ""Весенний лист"", изданной в Лондоне в 1961 году). После того как мне подсун | осле того как мне подсунули под дверь в Лондоне эту книжку, я смыл руки мылом, и мне вс | ""Внук главы Росгвардии Золотова живёт в Лондоне, снимается в клипах и строит биткоинову"
Иса,unknown,12,ИС (12),"ества: справедливость и ""Где деньги!?"" (ИС РАН) | о пенсионеров даже уменьшилось (данные: ИС РАН) | нции более ценят ""уважение окружающих"" (ИС РАН)"
Вашингтон,unknown,12,Вашингтоне (5); Вашингтон (4); Вашингтона (2); Вашингтону (1),"сквой:  ""По возвращении с президентом в Вашингтон Киссинджер снова затронул китайскую тем | оциологическом конгрессе в американском Вашингтоне:  ""Я не могу пройти мимо выступления де | нние проблемы и теория заговора. Люди в Вашингтоне не способны обсуждать ничего, кроме пре"
Яндекс,title,12,Яндекс (12),"В планах ФАС ведь - решения по сделке «Яндекс.такси» – «Везет».  Какова же настоящая | » – «Везет».  Какова же настоящая доля «Яндекс.такси» на легальном рынке? Дептранс Мос | up, по итогам первого полугодия 2019 у «Яндекс.такси» доля 46,7%, а у «Везет» - 24,1%."
Родина,title,12,Родина (12),"о не меняется - всё те же в камерах)) (""Родина"", №18, 1909 год) | Журнал ""Родина"" Бориса Солоневича (брата литератора Ив | еля, до начала 1980-х. В начале 1960-х ""Родина"" писала, ""как белым обустроить Россию"":"
Турция,title,12,Турция (12),"​​О том, как Турция могла бы объединить арабских и еврейски | озой. Например, в июле 1939 года, когда Турция завершала формальную аннексию Хатая, пр | гли своих сионистских собеседников, что Турция намеревалась расчленить Сирию и сожрать"
Игил,unknown,12,ИГИЛ (11); ИГИЛа (1),"йский путь (а какой ещё – китайский или ИГИЛ что ли?) – я оптимист. | я проблема – возвращение домой боевиков ИГИЛ (запрещённого в России) и угроза восста | час сконцентрировано 1400-1600 боевиков ИГИЛа, к весне 2019 их число может вырасти до"
Для,unknown,12,Для (12),лийское правительство ничего не даёт». (Для наглядности: 5 млн. долларов в начале 1 | нашей элиты. Дословно их настроения: - Для зарабатывания денег в России сейчас вре | гентов? (https://t.me/mixail_kain/1070) Для поджога рейхстага^Wсобора Парижской Бог
Александр Ii,person,12,Александра II (8); Александру II (2); Александр II (1); Александром II (1),"Письмо Алексея Константиновича Толстого Александру II, 1860 год:  Ваше величество, профессор | я воля"", участники покушения 1 марта на Александра II), философ Владимир Соловьёв выступает с | трудная судьба. ""В эпоху либерализации Александра II в России было создано Товарищество пере"
Газпром,unknown,12,Газпрома (5); Газпром (4); Газпромом (3),"самоизоляции Рунета. И государственный Газпром (больше половины его принадлежит госуда | егию Китая. Отсюда – срочное заключение Газпромом соглашения с Ашхабадом о возобновлении | ное отключение австрийцами компрессоров Газпрома внутри России вообще ставит вопрос, а е"
Русский,title,12,Русский (12),"оме его методолгии и «Острова Крыма» - «Русский Ислам». Лет пятнадцать ничего о нём не | трова к России. Ну а понятийный термин «Русский Мир» (без стратегии) произносят ещё ран | кто прочитал предыдущую книгу Харуна, «Русский негритюд». Отрывки из неё публиковал в"
Вадим Цымбурский,person,12,Вадим Цымбурский (6); Вадима Цымбурского (4); Россия (1); СССР (1),"» (без стратегии) произносят ещё раньше Вадим Цымбурский – где-то 1994-95 годы, и Михаил Гефтер | ртёр нефти и газа (как, к примеру, наша Россия) не может иметь полноценного суверените | Самобытный российский политолог Вадим Цымбурский (ныне, увы, покойный) ещё в 2003 году о"
Средней,title,12,Средней (12),"тнического залива и западного побережья Средней Норвегии в районе Тронхейма"". | айно при опросах русских - мигрантов из Средней Азии и других республик интервьюеры час | русские. То же можно услышать и в самой Средней Азии или в Грузии: это наши русские - т"
Интересный,unknown,12,Интересно (9); Интересная (1); Интересное (1); Интересный (1),"(Петроград, март 1917 года) Интересно, что задержанных держали в клетке прямо | osmi.ru/social/20181007/243400526.html (Интересно было бы поподробнее об этом почитать) | лись в основную силу ордынских войск"". (Интересная версия, что причерноморский тюркский су"
Вообще,unknown,12,Вообще (12),".com/ppryanikov/posts/1936737846371265  Вообще интересно было бы собрать панические сл | и Храповицкого «Молитва русской души»)  Вообще же удивительная закономерность: как тол | такого же технократа и империалиста». (Вообще получается, что строительство и той Рос"
Верховный Совет,person,12,Верховного Совета (5); Верховный Совет (5); Верховном Совете (1); Верховных Советов (1),"Советский плакат, посвященный выборам в Верховный Совет СССР 1984 года. Плакат выпущен в 1983 г | 2 декабря 1937 года состоялось избрание Верховного Совета. Среди 1143 депутатов было 45 евреев - | Т.е. из евреев-НКВДшников к 1940 году в Верховном Совете никого не осталось.  Казнили ещё 11 евр"
Эдуард,unknown,12,Эдуарда (9); Эдуард (2); Эдуарду (1),"з изданной во Франции в 1990 году книги Эдуарда Лимонова ""Дисциплинарный санаторий"":  "" | Абсолютно согласен с мнением философа Эдуарда Надточего.  Лет 8-12 нам придётся прожи | овременному классику круги говорят, что Эдуард Вениаминович очень сильно болеет. Прям"
Так,unknown,12,Так (11); ТАК (1),"ы фейков, вызывающих сильные реакции"". (Так как общество всё более аутично и атомиз | менные) и мустадафин (обездоленные).  - Так как наиболее сплоченной частью мирового | год на 1 человека против 180-190 тыс.) Так хоть будет шанс развить ещё один регион"
Где Деньга,person,12,ГДЕ ДЕНЬГИ (12),"лавным вопросом россиян к власти станет ГДЕ ДЕНЬГИ!? Почти никому не интересна будет Украи | когда главным вопросом горожан станет ""ГДЕ ДЕНЬГИ!?"" Деревенские и посадские люди тогда с | ся. Главной низовой идеей 2020-х станет ГДЕ ДЕНЬГИ!?"
Сибирь,title,12,Сибирь (12),"в было смещено и сослано на Север или в Сибирь. В самом начале 1700-х годов петровский | ийся Феофан Прокопович добился ссылки в Сибирь нескольких консервативных русских (из в | Ссуда (а не пособие) для переселенцев в Сибирь равнялась 150 руб., что было совершенно"
Федерация,unknown,12,Федерации (11); Федерацией (1),"бликована и распространена Американской Федерацией Труда ""Карта лагерей принудительного тр | Матери-основательницы Российской Федерации (газетная вырезка - 03.11.1991, ""Москов | амерено через суд взыскать с Российской Федерации 500 млн руб. «неосновательного обогащен"
Госсовет,unknown,12,Госсовета (5); Госсовет (3); Госсовету (2); Госсовете (1); Госсоветом (1),"изов с ""переформатированием"" (преемник, Госсовет, учреждение монархии и т.д.) не будет, | ом он проводил одиночный пикет у здания Госсовета. Рядом с Разиным были обнаружены плакат | дня в Ижевске должна была пройти сессия Госсовета. ​Заседание перенесено на 24 сентября."
Московского,title,12,Московского (12),"ьно действовала сохранившаяся со времён Московского государства система ""почестей"": вознагр | рти. С 1940 г. старший повар пансионата Московского горкома партии «Ильичевский» в с. Ильин | желе, предназначенное первому секретарю Московского обкома КПСС И.В.Капитонову. Дедушка над"
Толстой,unknown,12,Толстого (9); Толстой (2); Толстым (1),"старину. Письмо Алексея Константиновича Толстого Александру II, 1860 год:  Ваше величест | зрешение на езду на велосипеде для Льва Толстого, 1901 год | сии. В частности, он встречался с Львом Толстым (для изучения мировоззрения толстовцев)"
Тунис,unknown,12,Тунисе (6); Тунис (2); Туниса (2); Тунисом (1); Тунису (1),"цей Римской империи — там, где сейчас в Тунисе и Алжире простираются пески Сахары, кол | ветскими арабскими режимами - Алжиром и Тунисом. От империи Карла Великого Европа перех | еляется через язык. Уроженец Алжира или Туниса (и даже Мали и ЦАРа) знает французский"
Жж,unknown,12,ЖЖ (12),"орского @podosokorsky Давно читаю его в ЖЖ, ФБ. И вот читаю здесь, в ТГ. У Николая | ет в стране. Давно пишу, ещё со времени ЖЖ нулевых, что хорошо бы нам президента с | прогнозировал этот тренд (писал в своём ЖЖ). Москвичи всё больше будет превращатьс"
Асад,unknown,12,Асада (10); Асад (2),"ичтожит их. Позиция Израиля однозначна: Асад - номинальная фигура, и всем в Сирии ра | ориана Фейгенбаума.  «Портрет Мухаммеда Асада будет неполон, если мы не приведем его | го всем женщинам"". В течение всей жизни Асад настаивал, что между либеральной демокр"
Мосгордума,unknown,12,Мосгордуму (8); Мосгордумы (3); Мосгордуме (1),"ему Лужкова как «ледокола» на выборах в Мосгордуму в сентябре 2019. В это можно поверить т | с двух противоположных сторон, выборы в Мосгордуму в сентябре 2019-го пройдут очень сложно | партии власти на предстоящих выборах в Мосгордуму.  Когда даже высшие чиновники стыдятся"
Эдуард,person,12,Эдуард (12),Писатель Эдуард Лимонов в рекламе стоматологической кли | Философ Эдуард Надточий у себя в ФБ комментирует тепер | Философ Эдуард Надточий в ФБ рассказывает о своей плем
Xii,unknown,12,XII (12),"они сжигали трупы сородичей. До начала XII века викинги - это знать Новгорода, зат | ько групповые снимки. Неприлично это. 5 XII (1920 г.) Ф.Дзержинский | Вид Болоньи в XII в. Город был плотно застроен каменными"
Еще,unknown,12,Ещё (12),"gulki/bratskaya-pomoshch-polshi-v-1968  Ещё интересный факт - именно руководство По | я песня. https://t.me/Harunspeaks/2132  Ещё бы заметил, что и внутри Демпартии идут | одинок, чем американский пенсионер.  - Ещё один повод для депрессии PhD студентов"
Западу,title,12,Западу (12),"сейчас как раз на идее ""противостояния Западу на дальних рубежах""). Уже видим эскалац | ом и, так сказать, химически враждебной Западу с его неустанной творческой работой. То | вашей немощи. Если прошлое принадлежит Западу в отношении социальном и интеллектуальн"
Виэ,unknown,12,ВИЭ (12),"бщее лидерство Китая в объеме выработке ВИЭ, в десятке нет ни одного китайского гор | н. у угля. На графике хорошо видно, что ВИЭ лишь замещают выбывающий уголь в энерго | ого мира. Начнём с геополитики. Все эти ВИЭ – это окончательный крест на самостояте"
Русский М,person,12,Русский Мiр (5); Русского Мiра (5); Русский МIр (1); Русском Мiре (1),"инство россиян (67%) ради новой войны, ""Русского Мiра"" и духовных скреп не готово жертвовать | Когда Донбасс ещё не был в ""Русском Мiре"" | ья империя», в которой описал идеальный Русский Мiр. Книга удостоилась похвалы его двух дру"
Глеб Павловский,person,12,Глеб Павловский (5); Глеба Павловского (5); Глебом Павловским (1); Павловского (1),"Пишут, что Глеб Павловский остановил работу своего сайта ""Гефтер.р | ой волне"" послушал 42-минутное интервью Глеба Павловского. Краткие его тезисы: - Система сейчас п | сть и хорошие люди - Вайно и Кириенко. (Глеб Павловский как-то жёсток в этот раз)"
