normalized_token,classification,detection_method,count,variant_examples,sample_contexts
Малофеев,person,pattern_surname,14,Малофеева (12); Малофееву (1); Малофеевым (1),"и и архаиков из «Чёрной сотни» олигарха Малофеева. А лидер ЛДПР сдаёт уже с силу возраста | ась возня вокруг православного олигарха Малофеева. Сегодня он стал замом во Всемирном рус | в составе депутата Поклонской, олигарха Малофеева и т.п.) У них же какие главные темы в п"
За,title,quoted_title,14,За (14),"оительство социализма в СССР"". (Журнал ""За пролетарское искусство"" №1, 1931) | за В.Пшавела Этери - 1300 рублей Итого За 5 месяцев я заработала 3840 рублей"".  М | любим. Это его дело - топливо в топку ""За что мы не любим либералов"" и ""Жизнь нас"
КПРФ,title,quoted_title,14,КПРФ (14),"ваторы 90-х, в основном голосовавшие за КПРФ, которая стала в то время носителем, яд | е - туда и остатки здравомыслящей части КПРФ и Яблока, и либералов вне сислибов - с | сия на второй план, вступает в альянс с КПРФ. Таким образом, преодолевается возводим"
Государственный,unknown,unknown,14,Государственного (7); Государственная (2); Государственной (2); Государственном (1); Государственную (1),"нала"". Художник А.Голенкина. Петроград, Государственный фарфоровый завод, 1920 год | ого выступления. (Иосиф Сталин (Коба), ""Государственная Дума и тактика социал-демократии"", тифл | Карнавал во Дворце культуры 1-го Государственного автомобильного завода им. И.В.Сталина в"
Анатолий,person,natasha_token,14,Анатолий (14),"Историк и демограф Анатолий Вишневский в замечательной книге "" Серп | Артист Малого театра Анатолий Свенцицкий вспоминал, как в 1946 года о | й информации. Написал этот законопроект Анатолий Лысков - генерал-лейтенант ФСБ, заслуже"
Тг,unknown,unknown,14,ТГ (14),"итаю его в ЖЖ, ФБ. И вот читаю здесь, в ТГ. У Николая в канале много очень интерес | у соцсетей? Есть мнение - пиши в ФБ или ТГ. | , на мелкую возню в регионах. Уничтожат ТГ - нечего будет анализировать. С утра уж"
Карл,person,natasha_token,14,Карл (14),"крест на планах по созданию Израиля. (А Карл Баллод в середине 1920-х переключился н | мя войны 1741-1743 гг. шведский генерал Карл Эмиль Левенгаупт так описывал причины в | и государя, генерал-аншеф его армии, я, Карл Емилий Левенгаупт, граф, объявляю всем"
Владивосток,person,pattern_surname,14,Владивосток (7); Владивостока (4); Владивостоке (3),"ских островов Японии. Брилёв сначала во Владивостоке варит суп из мидий и морской капусты ("" | Сотрудники уголовного розыска Владивостока, справа - они же в гриме для прикрытия. | для безработных на бирже труда Церетели Владивосток. Адмирал Колчак Автономов Революционный"
Тверь,unknown,unknown,14,Твери (10); Тверь (3); Тверью (1),"и перелёте из Ленинграда в Москву около Твери дирижабль по ошибке был сбит военными | нкт-Петербург и дать бой прибывающим из Твери частям ОМОНа.  Вот примерный перечень п | из Николо-Малицкого монастыря, что под Тверью. Интернетзависимые горят в аду @pepel_v"
Новгородский,person,pattern_surname,14,Новгородской (10); Новгородская (2); Новгородских (1); Новгородскую (1),"я над ними, они ""поставляли на вид, что Новгородская область, до покорения её московским гос | и т.д. - среди русских территорий имеют Новгородская и Псковская области. Прежде - две самые | - пишет Некита. Более того, в экономике Новгородской республики у женщин было полное равнопр"
Лнр,unknown,unknown,14,ЛНР (14),"есколько месяцев будет 5 лет, как ДНР и ЛНР стали жить «самостоятельно». Можно подв | овека для них ничего не значит. В ДНР и ЛНР мы тоже видим главную ""национальную иде | рактика – «народная демократия» в ДНР и ЛНР в 2014-2015. Сурков был одним из курато"
Дима,unknown,unknown,14,Димы (8); Димой (5); Дима (1),"ом, что ""у них была великая эпоха"".  PS Дима в своё время интересно написал о походе | У Димы очередной интересный пост – об истоках | , и окончательно – нефть. Также в посте Димы надо обязательно читать комментарии. У"
Ржд,unknown,unknown,14,РЖД (14),"ок надо реконструировать инфраструктуру РЖД, в том числе подвижной состав и главное | сквы» на Ленинградском вокзале. Задумку РЖД, Российское историческое общество и Инс | сти. Простые факты. Недавно госкомпания РЖД нанесла очередную звонкую пощёчину «глу"
Сбербанк,unknown,unknown,14,Сбербанка (8); Сбербанк (3); Сбербанке (3),"я ФОМ, Ipsos, Института социологии РАН, Сбербанка, Validata и др. Если кратко, то резюме | На конференцию Сбербанка о будущем недвижимости пригласили высту | России. Например, постоянно читаем, как Сбербанк, Альфабанк и пр. банки «оптимизируют» п"
II,title,quoted_title,14,II (14),"(который вскоре после отречения Николая II стал председателем и министром внутренн | ннической телеграммы Императору Николаю II Александровичу Всероссийский съезд Русс | растущее в стране недовольство, Николай II показал ему большую пачку телеграмм чер"
Минобороны,unknown,unknown,14,Минобороны (14),"rcraft). Проект длился 11 лет, а теперь Минобороны Индии решило, что российский истребител | Во время Второй мировой стал работать в Минобороны в группе по пропаганде. В статье Левина | е в 1940-х в Хагане или хотя бы топом в Минобороны Израиля в наше время."
Вы,unknown,unknown,14,Вы (6); Вам (4); Вами (2); Вас (2),": Ну вы же не высший судия, чтобы перед Вами отчитываться  :) Повторю: кормиться мож | , товарищ Сталин сказал: ""Я и не говорю Вам, чтобы Вы их выгоняли на улицу. Посадит | талин сказал: ""Я и не говорю Вам, чтобы Вы их выгоняли на улицу. Посадите и пусть"
Александрович,person,pattern_surname,14,Александрович (9); Александровича (2); Александровичем (1); Александровичу (1); Александровна (1),"был мелкий бизнесмен и фермер Александр Александрович Сысоев. В октябре 1993 года он был защи | ческой телеграммы Императору Николаю II Александровичу Всероссийский съезд Русских Людей откры | Какие бывают биографии: ""Семён Александрович Пидгайный. В 1924 году приехал в Киев,"
Италии,title,quoted_title,14,Италии (14),"и), в Англии - 500, в Германии - 300, в Италии - 230 и в России - 110. Итак, средний р | систему ЗРИ. Например, Джонс пишет:  ""В Италии Одоакр, а за ним Теодорих, оставили нет | тно, закрепляло его королевский сан и в Италии.  Хотя императоры официально не назнача"
Васильев,person,pattern_surname,14,Васильев (6); Васильева (6); Васильеве (1); Васильеву (1),"г: «Угнетенные нации, объединяйтесь!» И Васильев со своей «Памятью» тут как тут!  Власов | его протеже и министр образования Ольша Васильева, а это означает, что Володин возьмёт по | .  Ходят слухи о ""высоких покровителях"" Васильева. Ходят сотни слухов, само существование"
Германия,title,quoted_title,14,Германия (14),"я потребляла на душу населения 24 пуда, Германия - 27 пудов, а САСШ - целых 62 пуда, то | богатых странах мира, как САСШ, Англия, Германия и Франция, хлеб вытеснялся мясными и мо | Китайский мальчик справа держит лозунг ""Германия превыше всего!"""
Александра,title,quoted_title,14,Александра (14),"ись, некоторые вскрыли себе вены.  Фонд Александра Яковлева тоже приводил цифры наказанных | овному учителю удалось вызвать дух царя Александра III; несомненные признаки свидетельство | ""Официальная Россия в трауре. Не стало Александра III. Николай II является теперь государ"
Борис,person,natasha_token,14,Борис (14),"В сентябре 1989 года Борис Ельцин побывал в США. Увиденное так пор | Друг Борис Цейтлин (он ведёт канал @BoryaZeitlinIz | Евтушенко"". Кстати, главой новой России Борис Солоневич видел русского изобретателя,"
Булгаков,person,pattern_surname,13,Булгакова (7); Булгаковых (4); Булгаков (1); Булгаковой (1),"ей подобострастной пьесе «Батум» Михаил Булгаков. Звучало он так: ""Сталин: Ну что же... | биографии лётчика Талалихина, писателя Булгакова и др., и рассказ о городских местах, св | канского посла и его сотрудников к чете Булгаковых. Потихоньку начинают забирать старых вр"
Азербайджан,unknown,unknown,13,Азербайджана (6); Азербайджан (4); Азербайджане (2); Азербайджану (1),"еакция теперь уже вечного врага Армении Азербайджана. Ослабление Армении в результате ""перес | т не вмешаться Турция - главный союзник Азербайджана. И может возникнуть новая точка горячей | ы вора в законе Ровшана Ленкоранского в Азербайджане. Настоящее евразийство и такая всенарод"
Санкт-петербург,unknown,unknown,13,Санкт-Петербурге (7); Санкт-Петербурга (4); Санкт-Петербург (2),"требовалось перекрытие трассы Москва - Санкт-Петербург и дать бой прибывающим из Твери частям | арла Бруни (будущая супруга Саркози)  в Санкт-Петербурге на съёмках для журнала мод, 1992 год | 7 году 166 тысяч рублей (официально). В Санкт-Петербурге - 107 тысяч рублей. А дальше провал: в"
Колчак,unknown,unknown,13,Колчака (10); Колчак (2); Колчаке (1),Какая оборванная армия была у Колчака | Почтовая марка Директории Колчака | рже труда Церетели Владивосток. Адмирал Колчак Автономов Революционный трибунал. Дело
Магнитогорск,unknown,unknown,13,Магнитогорске (7); Магнитогорска (4); Магнитогорск (2),"ших и пострадавших при обрушении дома в Магнитогорске $147 тыс. Освежил в памяти про ММК, тип | официально).  Излишне говорить, что сам Магнитогорск это типичный город при «вредном произво | хватило бы на то, чтобы «перезапустить» Магнитогорск – чтобы там появилась удобная городская"
Венедиктов,person,pattern_surname,13,Венедиктов (8); Венедиктова (4); Венедиктовым (1),"у в сети. Кто придумал массово зарядить Венедиктова с его мнением в поддержку реформы в бан | ликует, как побороли Русь. От Собчак и Венедиктова до этого набившего оскомину инфантила и | тевых инсайдеров. Главред ""Эха"" Алексей Венедиктов о приговоре министру Улюкаеву в декабре"
Американский,person,pattern_surname,13,Американского (5); Американский (4); Американской (3); Американская (1),"Ещё в сентябре 2013 года вице-президент Американского совета по внешней политике Илан Берман | ьзуются как тягловые животные для машин Американской компании Интернешнл Харвестер в степях | В бестселлере 1967 года ""Американский вызов"" Жан-Жак Серван-Шрейбер утверждал"
Цымбурский,person,pattern_surname,13,Цымбурский (8); Цымбурского (5),"стратегии) произносят ещё раньше Вадим Цымбурский – где-то 1994-95 годы, и Михаил Гефтер | Самобытный российский политолог Вадим Цымбурский (ныне, увы, покойный) ещё в 2003 году о | . Наш один из лучших геополитиков Вадим Цымбурский ещё в начале 2000-х посвятил этому явле"
Ммк,unknown,unknown,13,ММК (13),"владельцы Магнитогорского меткомбината (ММК) перечислили в фонд погибших и пострада | тогорске $147 тыс. Освежил в памяти про ММК, типичное предприятие, на котором держи | ва, Махмудова, Зюзина и пр.) владельцем ММК стало местное семейство Рашниковых. Сос"
Франция,title,quoted_title,13,Франция (13),"анах мира, как САСШ, Англия, Германия и Франция, хлеб вытеснялся мясными и молочными пр | у них вышло:  «Решили поиграть в игру ""Франция"": профсоюзы, партии, совет министров и | миллионов тонн железа в год на 1850-е, Франция - около 800 тысяч, США - 550-600 тысяч,"
Зеландия,unknown,unknown,13,Зеландия (8); Зеландии (3); Зеландию (2),"мир (Англия+США+Канада+Австралия+Новая Зеландия; супергегемон с населением 430 млн. чел | я, Швейцария, Канада, Австралия и Новая Зеландия. | юдение за сегодняшней трагедией в Новой Зеландии: «Если бы мусульманин перестрелял столь"
Лубянка,person,pattern_surname,13,Лубянке (5); Лубянки (3); Лубянку (3); Лубянка (2),"Так выглядела Лубянка до 1934. Сейчас фонтана нет, трамваи не | продают свои же. Штирлиц оказывается на Лубянке, и снова – в центре интриги. Советские | еабилитировать - скажем, патриарха всея Лубянки Алексия, Туполева, Капицу, Жукова, Гага"
Фейсбук,person,pattern_surname,13,Фейсбуке (5); Фейсбук (4); Фейсбука (4),"аю о сайте Толкователя http://ttolk.ru/ Фейсбук https://www.facebook.com/blogttolk/ ВКо | В Фейсбуке ещё в прошлом году признали, что решени | аз важная бюрократическая институция (а Фейсбук - уже таковая) что-то призывает не чита"
Америка Россия,person,expanded_pair,13,Америка России (3); Америке России (2); Америки России (2); Америку Россию (2); Америка Россию (1),"х""). Уже видим эскалацию противостоянии Америки и России в Сирии. Потихоньку Украина начинает тр | но, что два нынешних главных противника Америки – Россия и Китай - состоялись по милости США. Сн | аз большими.  Ну и третье. Как и Китай, Америке было важно влить Россию в набирающий ход глобализм. Как надёжно"
Нет,unknown,unknown,13,Нет (7); НЕТ (6),"ник Ельцина? Будете ли вы кандидатом? - Нет. У нас монархия - зачем тогда быть канд | стические Мусульмане скандируют лозунг ""Нет очищенному капитализму!"": этот термин о | еских мусульман"" - арабская буква ""ля"" (Нет!)."
Елена,unknown,unknown,13,Елена (6); Елены (5); Еленой (2),"по амнистии вышла в 1954 году). Их дочь Елена получила 5 лет ГУЛАГа. До самой смерти | день, 25 декабря 1989 он вместе с женой Еленой был расстрелян по приговору трибунала | и фактический главред газеты ""Культура"" Елена Ямпольская. У неё нет практического опы"
Отечественный,unknown,unknown,13,Отечественной (7); Отечественная (5); Отечественную (1),"ережил и своего хозяина, и даже Великую Отечественную. И долго ещё после войны правил конюшне | 13-й минуты короткий рассказ о Великой Отечественной, и там отсыл к тому, что отстаивать Мос | Великая Отечественная война породила во Владимирской тюрьме с"
Гдр,unknown,unknown,13,ГДР (13),"разочаровался. Например, после аншлюса ГДР не покинул СЕПГ и остался членом Партии | н в военные годы. В Германии (совокупно ГДР и ФРГ) это показатель был 28% от женско | осточной Европе и то, как их коллеги из ГДР, Чехии и т.д. оказывались на улице, как"
Трампа,title,quoted_title,13,Трампа (13),"нынешнее трамповское безумие на одного Трампа - это примерно как сталинизм и большеви | одстраиваться, либо ядро найдет своего ""Трампа"" и проведет его к руководству партии. | ом виде тоже сохранится. Главным же для Трампа является сдерживание Китая и прекращени"
Виктор,person,natasha_token,13,Виктор (13),"ского Труда (1981 год). ""Многоуважаемый Виктор Михайлович! Разрешите от всего сердца п | 8 года). Популяризатор науки и писатель Виктор Фридман: ""Самое очевидное направление - | ой российского КГБ в мае 1991 года стал Виктор Валентинович Иваненко. Стоял у истоков"
Албания,unknown,unknown,13,Албании (7); Албания (4); Албанию (2),"Король Албании Ахмед Зогу (1895-1961) и три его сестры | а 1935-36.  Наконец, вторжение Италии в Албанию 7 апреля 1939 году. Вот этой даты даже | грессия Италии с последующей оккупацией Албании. В общем, есть где разгуляться историка"
Верховный,unknown,unknown,13,Верховный (7); Верховного (6),"39 году. В 1948 году стал председателем Верховного суда СССР. Он благополучно дожил до 105 | Советский плакат, посвященный выборам в Верховный Совет СССР 1984 года. Плакат выпущен в | анду. В связи с предстоящими выборами в Верховный Совет СССР церковники и сектанты активи"
Платонов,person,pattern_surname,13,Платонов (8); Платонова (3); Платонове (1); Платонову (1),"а с два это выйдет"".   (Писатель Андрей Платонов, ""Записные книжки"", 1935 год) | Начал читать книгу «Андрей Платонов. Воспоминания современников. Материалы | нижкой стихотворений «Голубая глубина», Платонов написал краснодарскому издательству «Бу"
После,title,quoted_title,13,После (13),"белый террор в Приморье в 1919 году:  ""После неуклюжего красного террора лишь при вл | политолога Ивана Крастева в его книге ""После Европы"" есть одна интересная мысль: для | рай у них случился. Дословная цитата:  ""После этого Ливия, не обладая законами, центр"
Герман,unknown,unknown,13,Герман (6); Германа (6); Герману (1),"Чудачествам Германа Стерлигова - уже 25 лет (вырезка из газ | Предприниматель Герман Стерлигов, 1991 год | (к посту выше) депутат, НКВДшник Герман Люшков, сбежавший в Японию"
Февральский,person,pattern_surname,13,Февральской (8); Февральская (3); Февральскую (2),"Барабан"" в марте 1917 года, сразу после Февральской революции | ""Незадолго до Февральской революции, когда председатель IV Госуда | предложил интересную идею - рассмотреть Февральскую революцию 1917 года с т.з. экономическо"
Кудрин,person,pattern_surname,13,Кудрина (8); Кудрин (4); Кудриным (1),"оссии - только плохое, например, призыв Кудрина увеличить пенсионный возраст. Неудивите | реди них, например, упоминается Алексей Кудрин. Самый большой раздел «политического за | ьбитов в верхах. Симптоматично усиление Кудрина. И закономерно. Как известно, субъектно"
Нобелевский,person,pattern_surname,13,Нобелевскую (5); Нобелевские (2); Нобелевского (2); Нобелевской (2); Нобелевский (1),"18 году искусственный интеллект получит Нобелевскую премию, - в 2020 году электронные формы | ю, затем в США. В 1946 году Мёллер стал Нобелевским лауреатом. 5 мая 1936 года Мёллер пишет | анскими учёными, в том числе лауреатами Нобелевской премии Л.Клейном, В.Леонтьевым, Дж. Тоб"
Bf,unknown,unknown,13,BF (13),%BE%D1%81%D1%81%D0%B8%D1%8F%D0%BD-8-%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D1%87%D0% | 0%BE%D0%B2%D0%B8%D0%BB-%D0%BD%D0%B0-%D0%BF%D0%BE%D0%B4%D0%B2%D0%B8%D0%B3/ | olk.ru/2017/04/05/%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0-%D0%BB%D1%83%D1%87-%D0%BA%D
Замоскворечье,unknown,unknown,13,Замоскворечье (9); Замоскворечья (4),"жу? Вчера и сегодня был только у себя в Замоскворечья, на Б.Дмитровке, на Динамо. Увидел толь | грубо говоря, от местного совета нашего Замоскворечья шагом можно дойти до Кремля за 20 минут | сквы. Сейчас зашёл в халяльный (у нас в Замоскворечье), оттуда иду с их фирменными пакетами ("
Но,title,quoted_title,13,Но (13),"сь, усмехаясь, он прибавил невесело:  – Но часто слушать музыку не могу, действует | лечах немцев входил в Ростов-на-Дону:  ""Но вот и утро пасхального дня (21 апреля 1 | ют, как лечить рак, - поддакнула она. - Но наши-то этим не пользуются! И инопланет"
Шойгу,unknown,unknown,13,Шойгу (13),"ода, то партия власти вместо ""Единства"" Шойгу тогда должна была выглядеть так: Джемал | и не проходили срочную службу в армию – Шойгу и Иванов. Много в своё время смеялись н | , рублёвский шатёр тувинского наполеона Шойгу, и т.п., в реальном русском мире происх"
Шаламов,person,pattern_surname,13,Шаламов (7); Шаламова (5); Шаламовым (1),"15 года «Теология освобождения» Варлама Шаламова"".  Несмотря на декларируемый атеизм, пи | а декларируемый атеизм, писатель Варлам Шаламов всегда подчёркивал положительную роль О | ужения Мамоне и государству.  Раскрытие Шаламовым истории и идеологии послереволюционного"
Саратов,person,pattern_surname,13,Саратове (8); Саратова (4); Саратов (1),"нии крестьян на планету Юпитер дошли до Саратова. Становому приставу было поручено собра | Кумыска – это природный парк на западе Саратова, а «Шорохи Кумыски» - это небольшой (по | - это небольшой (пока) канал о жизни в Саратове.   Канал создали совсем недавно, поэтом"
Яндекса,title,quoted_title,13,Яндекса (13),"лизации на этом рынке. К примеру, доля «Яндекса» на легальном рынке указана в 27%. Но э | частников рынка.  Вероятно, такая доля «Яндекса» появилась по нескольким причинам. Анал | то таксопарки, которые выполняют заказы Яндекса и других агрегатов. Так что эти расчёты"
Великобритания,country,country_match,13,Великобритании (10); Великобритания (3),"Последний по времени опрос в Великобритании о приверженности лейбористам и консерва | Премьер-министр Великобритании Маргарет Тэтчер ставит свечу в Троице-С | центры, обваливающие ее - США, Россия и Великобритания, будут все более деевропеизироваться, у"
Львов,person,pattern_surname,13,Львове (6); Львова (4); Львов (2); Львовым (1),"Во время Первой мировой Львов был взят российской армией 3 сентября 1 | й университет и Технический университет Львова, были закрыты. Чтобы заручиться симпати | 1916 года он привёл тексты речей князя Львова на Всероссийском съезде земств, в котор"
Проханов,person,pattern_surname,13,Проханова (7); Проханов (6),"ловек с яйцом"" описывает, как Александр Проханов вместе со своим гуру, архитектором Конс | ""Два сердечных приятеля, Пчельников и Проханов, бродя по окраинам Москвы, тогда отыска | ыскали место для Артполиса Пчельников и Проханов, находится здание Службы внешней развед"
Чубайс,person,natasha_token,13,Чубайс (13),"я неолиберальному правительству (да-да, Чубайс уже тогда употребляет слово ""неолиберал | журналиста Андрея Колесникова «Анатолий Чубайс» (фактически прижизненная ЖЗЛ, 2008 год | (к предыдущему посту) В своей ЖЗЛ Чубайс говорит о главном принципе т.н. «реформ"
Белоусов,person,pattern_surname,13,Белоусов (6); Белоусова (6); Белоусову (1),"тые. - По своре миллиардеров - это план Белоусова об изъятии сверхренты. Хорошо, но мало. | ошо, но мало. И явно одного этого плана Белоусова недостаточно. - По военным расходам - н | по ним, посмотрим, чего ожидать. Андрей Белоусов стал первым вице-премьером. Фактически"
Япония,unknown,unknown,13,Японией (13),"в 1905 году, люди, проигравшие войну с Японией, готовы были с ожесточением защищать - | рии, в СССР ещё постоянно ждали войны с Японией. Поэтому с 1927-28 годов в СССР началос | &D находится примерно на одном уровне с Японией и Германией (около $15 млрд. в год) и в"
The,unknown,unknown,13,The (13),"caust: Germany’s Forgotten Genocide And The Colonial Roots Of Nazism by David Olusa | В книге о колонизации землянами Марса The Mars Project, которую знаменитый констр | Электрокровать The Electronic Bed Company, 1945 год. В ней"
Звезды,title,quoted_title,13,Звезды (13),"ановили партстаж, вернули орден Красной Звезды вручили золотой значок ""50 лет в КПСС"". | ь и транспортное плечо: от Магнитки до «Звезды» 5 тыс. км.  И выяснилось, что единстве | яснилось, что единственный вариант для «Звезды» - это покупать толстолистовой прокат в"
Волга,unknown,unknown,13,Волги (6); Волгу (3); Волге (2); Волгах (1); Волгой (1),"четырёх-пролетной лестницей - спуском к Волге | ак далеко зашли немецкие колонисты - до Волги и Кавказа | ересно, что и захват земель русскими за Волгой тоже имел под собой правоту. В российск"
Орден,unknown,unknown,13,Ордена (9); Орден (3); Орденом (1),"европейская сила (по сути - Европейский Орден).  Но шансов на это немного. Не менее в | Мариянны Пуаре-Пургольд,  хранительницы Ордена Чаши Святого Грааля, в 1927-м севшей на | открытое объявление войны Орде, на что Орден никогда бы не пошёл, памятуя, чем для е"
Крымский,person,pattern_surname,13,Крымский (4); Крымской (4); Крымского (3); Крымская (1); Крымских (1),"е Европу спасли не русичи, а поляки. От Крымского хана - они же. От Османской империи - п | письма Вяземского - поражение России в Крымской войне, затем реформы по образцу европей | внешнего поражения. Как это было после Крымской войны в 1855-56, после русском-японской"
Павловский,person,pattern_surname,13,Павловский (7); Павловского (4); Павловским (2),"Советский писатель Олег Павловский в 1950 году написал детскую книгу ""Необ | Пишут, что Глеб Павловский остановил работу своего сайта ""Гефтер.р | не"" послушал 42-минутное интервью Глеба Павловского. Краткие его тезисы: - Система сейчас п"
Юрий,person,natasha_token,13,Юрий (13),"о раз, готовясь к заседаниям политбюро, Юрий Владимирович обсуждал со мной идеи прео | ода мэр Москвы Гавриил Попов и вице-мэр Юрий Лужков, только-только избравшись на эти | давлением цензуры пришлось переписать, Юрий Олеша пишет: ""Нужно знать, какие сны сн"
Кадыров,person,pattern_surname,12,Кадыров (6); Кадырова (3); Кадырове (2); Кадырову (1),ам новыми санкциями. Четвёртая - Рамзан Кадыров в Курбан-Байрам раздаёт овец всем страж | м в США. Далее прикомандирован к Ахмату Кадырову. Т.е. комиссар при главе Чечни. После е | мерти – московский комиссар при Рамзане Кадырове. Особые операции в Сирии. Скромен в быт
Косыгин,person,pattern_surname,12,Косыгина (7); Косыгин (5),"Советский премьер Косыгин и английская королева Елизавета | ерам, личной порядочностью и честностью Косыгин и Андропов были весьма похожи. Оба были | лагал, что его план идёт дальше реформы Косыгина, выводит предприятия из-под мелочной оп"
Собчак,person,natasha_token,12,Собчак (12),"а выборах в 1996 году проиграл Анатолий Собчак). Она говорила, что с Яковлевым работал | Иваненко вспоминал про одного такого:  «Собчак (с июня 1991 года-  мэр Ленинграда - Са | нковский центр, я туда часто мотался, и Собчак поручал Путину меня встречать и провожа"
Iv,unknown,unknown,12,IV (12),"ичайшей империи Древнего мира, но в III–IV веках н.э. климат снова портится, из го | димо, захватническая), но малая, была в IV тысячелетии до н.э. с севера Малой Азии | от как описывал предвыборную кампанию в IV Госдуму (1912 год) председатель Совета"
Тунис,unknown,unknown,12,Тунисе (6); Тунис (2); Туниса (2); Тунисом (1); Тунису (1),"цей Римской империи — там, где сейчас в Тунисе и Алжире простираются пески Сахары, кол | ветскими арабскими режимами - Алжиром и Тунисом. От империи Карла Великого Европа перех | еляется через язык. Уроженец Алжира или Туниса (и даже Мали и ЦАРа) знает французский"
Гулаге,unknown,unknown,12,ГУЛАГе (12),"На пике репрессий 1937-38 годов в ГУЛАГе заключённых с высшим и средним образова | й Берия. Массовые восстания вспыхнули в ГУЛАГе. На Колыме образуется первая свободная | это больше, чем умученных в сталинском ГУЛАГе. http://ttolk.ru/articles/pervyiy_konts"
Турция,title,quoted_title,12,Турция (12),"​​О том, как Турция могла бы объединить арабских и еврейски | озой. Например, в июле 1939 года, когда Турция завершала формальную аннексию Хатая, пр | гли своих сионистских собеседников, что Турция намеревалась расчленить Сирию и сожрать"
Игил,unknown,unknown,12,ИГИЛ (11); ИГИЛа (1),"йский путь (а какой ещё – китайский или ИГИЛ что ли?) – я оптимист. | я проблема – возвращение домой боевиков ИГИЛ (запрещённого в России) и угроза восста | час сконцентрировано 1400-1600 боевиков ИГИЛа, к весне 2019 их число может вырасти до"
Еще,unknown,unknown,12,Ещё (12),"gulki/bratskaya-pomoshch-polshi-v-1968  Ещё интересный факт - именно руководство По | я песня. https://t.me/Harunspeaks/2132  Ещё бы заметил, что и внутри Демпартии идут | одинок, чем американский пенсионер.  - Ещё один повод для депрессии PhD студентов"
Каганович,person,pattern_surname,12,Кагановича (5); Каганович (4); Каганович- (1); Кагановичем (1); Кагановичу (1),"Будущий сталинский нарком Лазарь Каганович в 92-м запасном пехотном полку, июль 19 | обкомов партии, наркомов. Один - Михаил Каганович, нарком авиапромышленности, брат ""того | , нарком авиапромышленности, брат ""того Кагановича"" — застрелился в 1941-м (кстати, депута"
Госсовет,unknown,unknown,12,Госсовета (5); Госсовет (3); Госсовету (2); Госсовете (1); Госсоветом (1),"изов с ""переформатированием"" (преемник, Госсовет, учреждение монархии и т.д.) не будет, | ом он проводил одиночный пикет у здания Госсовета. Рядом с Разиным были обнаружены плакат | дня в Ижевске должна была пройти сессия Госсовета. ​Заседание перенесено на 24 сентября."
Для,unknown,unknown,12,Для (12),лийское правительство ничего не даёт». (Для наглядности: 5 млн. долларов в начале 1 | нашей элиты. Дословно их настроения: - Для зарабатывания денег в России сейчас вре | гентов? (https://t.me/mixail_kain/1070) Для поджога рейхстага^Wсобора Парижской Бог
